t,price_usd_close,marketcap_realized_usd,lth_sum,sth_sum,rhodl_ratio,rcap_sma_zscore,rcap_upper,rcap_lower,sthlth_sma_meandev,sthlth_upper,sthlth_lower,rhodl_sma_maxmin,rhodl_upper,rhodl_lower
2024-03-09,68511.18707639222,504155091423.6036,939556878524.7854,198332502244.4448,6246.475886017225,10.09308625667679,4.656851572629662,0.7835632696371104,0.20512722430921415,0.18139612349142034,0.15291021743485964,8.668958445577008,8.668958445577008,7.4234631947006
2024-03-10,68989.04103917917,505368257919.5336,945928136282.0096,200286954425.5969,6308.087700144356,10.762345696808191,4.795733644398847,0.7682063109463466,0.20717058126139715,0.18173211878445283,0.15301285518918573,8.69842011872826,8.69842011872826,7.4234631947006
2024-03-11,72106.09190897494,509936291660.0959,987385535668.5944,210851184491.93576,6753.756319395074,11.457831758422937,4.949053322946206,0.74642689101112,0.2092560787869269,0.18209119043289984,0.1531199118754168,8.727234221246956,8.727234221246956,7.4234631947006
2024-03-12,71455.53510572789,512644119157.1573,976676377410.532,209680654853.84857,6444.478167427877,12.094333253307386,5.114742844854055,0.7195595524772012,0.21089021146222614,0.1824682659610491,0.1532309293215533,8.739219925730554,8.739219925730554,7.4234631947006
2024-03-13,73104.5022761031,522162215833.5365,998035663719.3892,215297993658.4662,7668.8900235316,12.757998336418343,5.293169831684875,0.6874652114086475,0.21237545049411405,0.18286164006767927,0.1533461256904424,8.777984316617184,8.777984316617184,7.4234631947006
2024-03-14,71401.28095361925,524465274145.8241,973987840305.8326,212243584769.72485,7459.355610996915,13.36812037167831,5.482279549764826,0.6515141351847964,0.21363877534944756,0.18326880503388684,0.15346482142578186,8.80856503335548,8.80856503335548,7.4234631947006
2024-03-15,69522.72820350363,525379873395.4566,947219902384.4878,208459588636.4378,7240.600612456204,13.832687635784234,5.677388217665802,0.6145909326483019,0.21496702930685246,0.1836904393537664,0.15358684770720865,8.832543508475604,8.832543508475604,7.4234631947006
2024-03-16,65222.44086567228,525862638000.95734,889030622352.3698,195579952296.6532,7181.668201808074,14.263378664306712,5.877319451278136,0.5773313485255933,0.2162385771748028,0.1841258724524378,0.1537124313069603,8.852474115572006,8.852474115572006,7.4234631947006
2024-03-17,68550.5518606481,527260548513.19977,933920711840.2294,206299265559.17932,7194.243233769105,14.703096650675795,6.082199050083483,0.5395520629097912,0.21754714865694177,0.18457547645759784,0.15384047823344335,8.871252484620287,8.871252484620287,7.4234631947006
2024-03-18,67725.64608349965,528320420805.40607,924393437756.3682,204298783514.47324,6641.493585575794,15.032858994440527,6.288780826070287,0.5031852708519957,0.21861336794028172,0.18503652658020897,0.15397002848431524,8.86885791803712,8.871252484620287,7.4234631947006
2024-03-19,61860.497272942885,528126922909.6106,846654723777.6606,187318486297.692,6221.182288232131,15.271471742755525,6.494606263084267,0.46966972098363957,0.21955014962337296,0.18550755668339688,0.15410165792947403,8.863820246766995,8.871252484620287,7.42935568039988
2024-03-20,67880.97212392565,528664142161.3106,923127033693.133,205451098950.75473,4391.39413125394,15.211845361845336,6.691953611947057,0.44340785276862604,0.2205270350743287,0.18598898172264436,0.15423659740364856,8.784173797930793,8.871252484620287,7.4365832725018635
2024-03-21,65471.572577690014,530095766385.6447,889253669793.276,199153616141.62173,4218.650869672136,15.134702536974917,6.881245219398597,0.42378169997225923,0.22139045884288247,0.18647951420100578,0.15437532202778675,8.702751847436735,8.871252484620287,7.437065097555463
2024-03-22,63582.344461741835,531386497301.0849,863401953021.1608,194684668666.1357,4114.970782857767,15.132724582839383,7.065077878457889,0.40911455959321774,0.22216336985749038,0.18697812462916372,0.15451779858766676,8.622027215075212,8.871252484620287,7.437207532854815
2024-03-23,64015.462395880066,536837099919.83105,868218014003.4269,203401813426.80545,4634.830524477991,15.28865983657489,7.24772602166556,0.39697100163300325,0.22420375206825757,0.18749883041071846,0.1546642164748422,8.559465491917086,8.871252484620287,7.437207532854815
2024-03-24,67255.20335053414,537386810093.85974,907320576824.6404,212651868242.90503,4588.055266363435,15.413355735476115,7.428577699213353,0.3877585720804193,0.22612911718457143,0.18804028785007487,0.1548156988155448,8.495204790445662,8.871252484620287,7.446045069883621
2024-03-25,69962.14171966423,542795923789.42395,942964579701.742,221470149361.59265,5291.978619182404,15.673656268268386,7.61098613891616,0.37967981971278686,0.22810873798860148,0.1886030328724322,0.154973364990226,8.462755551909831,8.871252484620287,7.4464282677321245
2024-03-26,70007.28641487475,543810220372.00433,943298517812.7812,222457263327.72388,6670.837763540396,15.975634083841838,7.795920028857058,0.37218068457697795,0.23019212323497826,0.18918814738721831,0.15513619948158627,8.472724907136707,8.871252484620287,7.447516818374316
2024-03-27,69478.68964281777,544681903729.1234,935441221173.4222,220930624798.2536,6495.410172849541,16.30323496496442,7.983926598994888,0.36501156485655883,0.23213755828888757,0.1897940299838831,0.15530248737034827,8.52864620053502,8.871252484620287,7.455117602176254
2024-03-28,70747.30476773762,547045498281.9273,951834021545.0852,227192564429.2567,6415.769310181185,16.587422316489985,8.173929112836467,0.3587864688854858,0.23424232329350933,0.1904223747263648,0.15547227349813392,8.588538134351975,8.871252484620287,7.46981959008132
2024-03-29,69898.04850404928,547654584708.5109,940342543685.4368,224475052848.75095,6392.200285055728,16.640765566720358,8.360624674747509,0.35622821746760813,0.23613242364184853,0.19107073126072255,0.1556454822709274,8.651459106885175,8.871252484620287,7.485477735634364
2024-03-30,69661.22972139201,548117986089.29706,937756688648.9684,223654338249.38712,5868.5199619598625,16.477607719974127,8.539458535986995,0.35941847803217897,0.23673589250820667,0.19172477958581505,0.15582143533624807,8.685173797177306,8.871252484620287,7.5113922200587435
2024-03-31,71354.85087466771,548586116705.9378,958517423275.3016,228717272462.01813,5838.206757644803,16.232943305594212,8.709232397399742,0.3686020307264517,0.2373419209696423,0.19238452884860602,0.15599936047364893,8.719597717547941,8.871252484620287,7.524562124003816
