t,price_usd_close,futures_funding_rate_perpetual_v2,futures_open_interest_perpetual_sum,futures_open_interest_sum,futures_volume_buy_perpetual_sum,futures_volume_sell_perpetual_sum,long_interest,preplongsideinterest_ema_maxmin,prep_long_interest_3ema,futureopeninterest_sma_maxmin,perp_cvd_bias_sum,perp_cvd_sum7,aggregate_indicator_equalweight,aggregate_indicator_PCA
2021-05-08,58766.58487466966,0.0002841189923565,11100502346.85393,294255.5032935809,71247053.45561565,56287755.9203598,3153863.541439102,-0.5791459673695528,3208824.0826139012,-0.8686662548694075,-0.07828530193419114,20493414.652958017,-0.5086991747243839,0.43332189378804475
2021-05-09,58218.56607679752,0.0002128227454148,11057439471.196327,295873.7077357458,56462456.67209924,58340533.84618682,2353274.6255179765,-0.6456924302204274,2781049.354065939,-0.9112428212056409,-0.13415659221210108,17517495.17907919,-0.5636972812127231,0.4913514368233409
2021-05-10,55824.86166666395,0.0002512182870412,11230696735.8271,314503.282141316,78926306.04841685,84239192.14398037,2821356.3962536803,-0.6425572624480348,2801202.8751598094,-0.7315855774769933,-0.3811550191509898,4361410.451329589,-0.5850992863586727,0.5553113048017442
2021-05-11,56714.088910232254,0.0001324095913326,11066015834.84476,309368.27452428767,62613488.17816617,83574275.62093265,1465246.634371875,-0.7464707903108905,2133224.754765842,-0.5926958375256878,-0.6616112167679656,-10576763.625318713,-0.6669259482015146,0.6853658237785265
2021-05-12,49916.49449913513,8.88961707053e-05,11084309648.58463,348583.32043839263,145465916.03771386,158351796.29987758,985352.6826709831,-0.8357547300874456,1559288.7187184126,-0.1082827348956491,-0.9948516256255033,-28326427.49149543,-0.6462963635361993,0.7680306976685716
2021-05-13,49729.30250032533,0.0002126988596271,9859297262.113804,326828.45138680545,277790497.9448123,283651893.89442515,2097061.2843761952,-0.7681630742097236,1828175.001547304,0.004988320771738719,-1.0,-31736075.327874243,-0.5877249178126617,0.7209652408770593
2021-05-14,49873.68639240858,6.30196899259e-05,9584447229.276148,319847.69471462956,73586858.94721425,69118258.54237904,604008.8925001342,-0.8680335070286413,1216091.947023719,0.10816081501610131,-0.9222172980130348,-27471128.98410309,-0.5606966633418583,0.7142470271968957
2021-05-15,46803.83052248365,0.0001975133262177,9822370420.378263,345934.79408975516,79481006.72713578,69703661.77653994,1940049.053071259,-0.7610699964314211,1578070.500047489,0.11834988417889036,-1.0,-32653081.568763107,-0.5475733707508436,0.6976027075017099
2021-05-16,46406.33154419618,0.0001040851467886,9713487104.201384,343760.8394502973,165636638.9864786,163441811.88327703,1011029.7310699741,-0.8016265042605609,1294550.1155587316,0.27994343111354203,-0.9263356819355814,-28580177.291473962,-0.48267291836086673,0.6567789445036538
2021-05-17,43382.14785916692,0.0001838304241498,9362273618.098969,352535.0976954258,98384902.76406457,101746066.37609877,1721070.730221616,-0.5516884010201724,1507810.4228901737,0.7821936261168974,-0.8910359802946989,-26628454.807944648,-0.22017691839932463,0.44631866995933
2021-05-18,42985.84309639979,8.76725453519e-05,9370734971.067636,355639.5706856465,120705023.20037504,117601696.70991768,821556.1867315627,-0.5821809049919219,1164683.304810868,1.0,-0.4558019502194165,-2564340.874720812,-0.012660951737112791,0.24834673507487404
2021-05-19,37151.95393552557,-0.0012454786022591,6168973074.193798,275836.9318624854,229031686.1036301,256240528.38799515,-7683323.961820914,-1.0,-3259320.3285050234,0.23036556312324952,-0.714853270406661,-16887302.89692214,-0.4948292357611372,0.6666065074486842
2021-05-20,40512.11108015661,-0.0003339962101644,6281179526.424852,255839.81556156947,167484137.26480612,177024848.26330006,-2097890.1571881217,-0.8323522808272259,-2678605.242846573,-0.8652725068378927,-0.781398962514204,-20566617.945803225,-0.8263412500597743,0.8181395244440066
2021-05-21,37273.44235496146,-0.0002098733809272,6075519155.359014,273449.1034356182,184379796.6183862,199090638.40625292,-1275089.7460231627,-0.6297605300039335,-1976847.4944348678,-1.0,-1.0,-39746060.138505146,-0.8765868433346444,0.8424018452210658
2021-05-22,37645.72214685647,3.0231540956e-06,5757317161.071235,260874.52130722936,102469545.79977168,102556563.5289187,17405.25695516067,-0.3418982602942693,-979721.1187398535,-1.0,-1.0,-49610422.818248,-0.7806327534314231,0.7198688194007743
2021-05-23,34888.67831280685,-0.0001333587677533,5492826510.617567,268005.5455158976,127156603.86268488,119253937.51088096,-732516.5749386173,-0.3062152903138764,-856118.8468392354,-0.9070509694234228,-0.9104915600004185,-43902583.56964566,-0.7079192732459059,0.6526545930851904
2021-05-24,38669.0184494052,2.35954317401e-05,5786300531.218536,250638.43390344453,164531250.18853948,148986365.72737417,136530.25921207134,-0.16293043111334216,-359794.29381358204,-1.0,-0.6140131912370452,-24996535.496446148,-0.5923145407834625,0.49126995230901804
2021-05-25,38211.78552190482,6.8649075657e-05,5773603492.688937,252472.6626470349,111648736.92158912,104846270.39898486,396352.54298312234,-0.05378371211176858,18279.12458477015,-1.0,-0.5560045054285676,-21297395.464299247,-0.5365960725134454,0.42190349810134586
2021-05-26,39266.35535111086,-2.455333998e-07,5999179688.707101,251595.03201198153,127809273.49905156,127891736.95122436,-1472.99898497936,-0.056634850774313183,8403.062799895395,-1.0,-0.13061763898839196,5828983.36789301,-0.39575082992090166,0.25514039385865095
2021-05-27,38530.1395731867,5.8006490925e-05,5893754890.085584,252033.25668264276,126586540.89917032,121457668.0006802,341876.03954592376,-0.008499383539259608,175139.5511729096,-0.9906145026266978,0.09942590513972038,20498567.26487708,-0.29989599367541236,0.14212693891649675
