t,price_usd_close,spot_cvd_sum,spot_volume_daily_sum,Price Momentum,Spot CVD Bias,Spot Volume Momentum,aggregate_indicator_equalweight,aggregate_indicator_PCA
2022-09-05,19832.617272901694,-35953318.70885911,7057970813.00191,-0.32695333922943914,0.35668495440031145,-0.2494957270878888,-0.07325470397233884,-0.014529124454287556
2022-09-06,18849.675355597625,-304480728.04628664,12348844107.429256,-0.6055161556658196,0.14066289014433742,-0.18272576528493867,-0.21585967693547362,-0.253613921156574
2022-09-07,19290.038203884116,3405454.3267967487,9913940375.587782,-0.382536120379362,0.029650142301864024,-0.20356897466823065,-0.1854849842485762,-0.1979986361832935
2022-09-08,19328.261130636736,-17811837.954191174,8741541922.82742,-0.45494642036306276,0.08335100000976037,-0.20685065769241484,-0.1928153593485724,-0.20793565363576705
2022-09-09,21366.23149989915,272378479.9047674,15889858358.42868,0.587094187032636,0.3471534256978859,0.023110385328905858,0.3191193326864759,0.442624077636099
2022-09-10,21678.07543481021,30631987.741112567,10830602346.280563,0.7143497651966524,0.45267124858160623,0.2295746919564039,0.4655319019115542,0.5644874206993356
2022-09-11,21766.32741685076,-56961174.942615025,10298132086.830456,0.8835645392400437,0.4032436037096101,0.4513699653332106,0.5793927027609548,0.6328685295551764
2022-09-12,22334.58242338902,106768065.1365142,15780707150.217896,0.8708420401750026,0.5249378067496604,0.7443395679309885,0.7133731382852172,0.6968840115954829
2022-09-13,20189.698956371427,-231372475.21761215,17839444724.0176,0.35873723834242655,0.5872750005458964,0.9115781000878809,0.6191967796587347,0.48088828898076486
2022-09-14,20253.94603854933,-49215553.41380935,12052655596.326015,0.31636349110658224,0.4448514930414129,0.9587752617519956,0.5733300819666636,0.39309574893372323
2022-09-15,19713.19853098287,-177617428.44018072,11166009552.762762,0.17771150435279548,0.27954028764807326,1.0,0.4857505973336229,0.24651505630603676
2022-09-16,19755.130499405703,-18499406.420477208,9944235234.883345,0.21760376689036232,-0.37697940648105965,0.7907831137059826,0.21046915803842844,-0.05894475298466639
2022-09-17,20132.063025997544,43820271.00918189,6373090741.804763,0.33086365733976875,-0.3895712466583483,0.638488900463543,0.19326043704832116,-0.015144107071612511
2022-09-18,19415.1877230739,-192263565.2535599,8916084844.333342,0.1348477797794394,-0.58257170671701,0.5769387338142398,0.043071602292223066,-0.2074469632807867
2022-09-19,19562.55262957902,-101979185.98148572,13294198553.750671,0.1930350540701138,-0.8803367011799053,0.4599617905075972,-0.07577995220073142,-0.3270764265424606
2022-09-20,18883.718622870616,-162654215.8192668,11172383280.847832,0.25296281045280056,-0.7823143702526276,0.21103943560775895,-0.10610404139735603,-0.26000905959032283
2022-09-21,18536.027129914833,-226457045.4842996,14776790036.62758,0.07918899924422051,-1.0,0.2664745750745654,-0.21811214189373804,-0.44863941424704534
2022-09-22,19419.039989088684,54974200.957058154,16489904357.93845,0.2636739671715689,-0.6694981446343976,0.39843022999821387,-0.0024646491548716196,-0.1928796976787579
2022-09-23,19305.21772159943,-21688410.64003308,13198475135.56792,-0.27902386525867384,-0.6445358333193467,0.4656293392181632,-0.15264345311995245,-0.4459557087573931
2022-09-24,18945.014357508026,-32272396.08095879,7800116208.279773,-0.4453147096704809,-0.7624430127893074,0.4929629336751229,-0.2382649295948885,-0.5838403115022124
2022-09-25,18794.861261685764,-76847314.31796391,6806042483.62307,-0.4990612717304397,-0.5836031175245955,0.4131200126390384,-0.22318145887199892,-0.5271845522158117
2022-09-26,19204.721621491597,16537509.725623451,15514519539.142204,-0.5565586282549335,-0.3999590182269449,0.44023096399491735,-0.17209556082898703,-0.4658429984903918
2022-09-27,19114.07327902847,-71616066.07464194,22622550401.94651,-0.14515385046839824,-0.2588935007331644,0.7224780357482088,0.10614356151554871,-0.18362960983716947
2022-09-28,19429.814118028236,46891777.049414046,20066442857.74843,-0.039255020191553136,0.16466621807922888,0.8215794131118104,0.3156635369998287,0.07697677915584022
