t,price_usd_close,spot_cvd_sum,spot_volume_daily_sum,pricemomentum_sma_maxmin,pricemomentum_upper,pricemomentum_lower,spotcvd_sma_maxmin,spotcvd_upper,spotcvd_lower,spotvolume_sma_maxmin,spotvolume_upper,spotvolume_lower
2021-03-12,57372.32951283427,-82732280.36607572,10760004222.22742,74.95005926977166,94.0750709789938,32.734538434236654,26801090.11262455,310538403.5748435,-304584711.12777144,9141154642.065481,14591709002.517248,2893063766.022316
2021-03-13,61217.050879895614,841081507.0181395,12203859197.126904,77.67417433032543,94.0750709789938,32.734538434236654,166869275.27906808,310538403.5748435,-304584711.12777144,10120312289.139387,14591709002.517248,2893063766.022316
2021-03-14,59728.59392893374,-200052901.58900115,7580559648.577779,79.02550510153776,94.0750709789938,32.734538434236654,134196977.0813631,310538403.5748435,-304584711.12777144,10230154975.672693,14591709002.517248,2893063766.022316
2021-03-15,55813.8936028549,-258070968.07335585,14875825231.07352,70.37698976869049,94.0750709789938,32.734538434236654,83510377.1533189,310538403.5748435,-304584711.12777144,11144988440.418484,14591709002.517248,3251716575.835254
2021-03-16,56488.62247040071,-79267934.90009998,11165575651.534748,64.46484049267214,94.0750709789938,32.734538434236654,61399679.37495558,310538403.5748435,-304584711.12777144,11372323347.49817,14591709002.517248,4247888887.9396615
2021-03-17,58748.92354285633,239178111.03234744,10321449610.963182,66.72845886983299,94.0750709789938,32.734538434236654,78869282.81970069,310538403.5748435,-304584711.12777144,11149010587.634005,14591709002.517248,4345373962.035373
2021-03-18,57887.8812431903,33100785.30235489,9874208515.753029,68.63871231010981,94.0750709789938,32.734538434236654,70462331.20347272,310538403.5748435,-304584711.12777144,10968783153.893797,14591709002.517248,4720610510.312578
2021-03-19,58374.206863912295,3407169.79950524,7799734152.4400015,70.6297084350285,94.0750709789938,32.734538434236654,82767966.94141285,310538403.5748435,-304584711.12777144,10545887429.638453,14591709002.517248,4858542408.485674
2021-03-20,58443.52143446477,53607011.99807831,7449737162.178576,70.7448514402862,94.0750709789938,32.734538434236654,-29728389.490024447,310538403.5748435,-304584711.12777144,9866727138.93155,14591709002.517248,4858542408.485674
2021-03-21,57521.45671319987,-10314986.145318992,7317509274.928757,67.66810934997903,94.0750709789938,32.734538434236654,-2622972.998069856,310538403.5748435,-304584711.12777144,9829148514.124546,14591709002.517248,4858542408.485674
